n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
400,0.5375,1.0019417407046853,0.3242291166337343,0.2919086551360268,promoter_alisim_dense,conv_epinet,3.0
400,0.88,0.25919947088871204,0.0808278082609225,0.03210423277370014,promoter_alisim_dense,laplace,0.0
400,0.875,0.26994618289718353,0.08471614930903101,0.03487108236810625,promoter_alisim_dense,laplace,0.0099999997764825
400,0.89,0.25794601991159927,0.0793788474796065,0.025066306244718048,promoter_alisim_dense,laplace,0.0199999995529651
400,0.8725,0.2725140675755741,0.08512141436431164,0.0324781191255423,promoter_alisim_dense,laplace,0.050000000745058
400,0.8575,0.3027633242166261,0.09504524288092828,0.02733113769040017,promoter_alisim_dense,laplace,0.1000000014901161
400,0.86,0.3243078672320852,0.0996754713893576,0.02254073823541673,promoter_alisim_dense,laplace,0.1500000059604644
400,0.83,0.3936338783547642,0.12467396336446468,0.054777885997772544,promoter_alisim_dense,laplace,0.2000000029802322
400,0.7825,0.5123900104140167,0.16222228674094435,0.0869055793866986,promoter_alisim_dense,laplace,0.3000000119209289
400,0.6975,0.6574816140547389,0.21448702827953534,0.15279428307267545,promoter_alisim_dense,laplace,0.4000000059604645
400,0.6675,0.7830025983245926,0.24662631824008105,0.1815586161356742,promoter_alisim_dense,laplace,0.5
400,0.62,0.773245542983743,0.25867720516529663,0.21562265559350036,promoter_alisim_dense,laplace,0.6000000238418579
400,0.61,0.8289591786395901,0.2715182877573379,0.22876484486256474,promoter_alisim_dense,laplace,0.800000011920929
400,0.5675,0.9397867856491686,0.3131920618288926,0.2907355236934506,promoter_alisim_dense,laplace,1.0
400,0.5325,1.0495607430207912,0.3358724984972763,0.3359197513754609,promoter_alisim_dense,laplace,1.5
400,0.55,1.0272166512452765,0.3334344711117345,0.3055599396320661,promoter_alisim_dense,laplace,2.0
400,0.5375,1.041564031052755,0.3356221623673123,0.3113532084489336,promoter_alisim_dense,laplace,3.0
400,0.8975,0.24557660504063045,0.07697197692325826,0.033373316164872366,promoter_alisim_dense,ensemble_k5,0.0
400,0.8825,0.26184697611967395,0.08309764826152641,0.035389903988434356,promoter_alisim_dense,ensemble_k5,0.0099999997764825
400,0.8925,0.24421193888226134,0.07711403341021912,0.026086830949931823,promoter_alisim_dense,ensemble_k5,0.0199999995529651
400,0.89,0.2604792148281256,0.08133394324988204,0.027435204335474327,promoter_alisim_dense,ensemble_k5,0.050000000745058
400,0.865,0.2953145196726237,0.09345223809127692,0.03062796262702479,promoter_alisim_dense,ensemble_k5,0.1000000014901161
400,0.8625,0.3277217431258481,0.10266281460293895,0.047741183180417895,promoter_alisim_dense,ensemble_k5,0.1500000059604644
