n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
400,0.87,0.32512047948893696,0.0947455488633076,0.08536128143409437,promoter_alisim_dense,evidential,0.0099999997764825
400,0.8825,0.3129307769511362,0.08964715936020909,0.08780184774946134,promoter_alisim_dense,evidential,0.0199999995529651
400,0.8775,0.32015230092620667,0.09209762362989707,0.0665751056078211,promoter_alisim_dense,evidential,0.050000000745058
400,0.865,0.35494902284350305,0.10592139830019179,0.061743166100605956,promoter_alisim_dense,evidential,0.1000000014901161
400,0.84,0.38489188296161353,0.11833039577414826,0.06647520749715427,promoter_alisim_dense,evidential,0.1500000059604644
400,0.825,0.43552492532087994,0.13817665420557582,0.0729497595498918,promoter_alisim_dense,evidential,0.2000000029802322
400,0.7425,0.5221114026348721,0.17397862774260964,0.07849085994816993,promoter_alisim_dense,evidential,0.3000000119209289
400,0.67,0.6399531584430396,0.22132010195861543,0.12646182967145356,promoter_alisim_dense,evidential,0.4000000059604645
400,0.64,0.7141515266614471,0.24765858971719554,0.15417156646104047,promoter_alisim_dense,evidential,0.5
400,0.5675,0.7530149710284781,0.2694406340055908,0.22142766173369263,promoter_alisim_dense,evidential,0.6000000238418579
400,0.58,0.7658211797837207,0.27167667570641285,0.21570845952669385,promoter_alisim_dense,evidential,0.800000011920929
400,0.545,0.8448831415601306,0.3031487345341403,0.2674180079057742,promoter_alisim_dense,evidential,1.0
400,0.52,0.9156462311066913,0.3267821045857528,0.30941920496542796,promoter_alisim_dense,evidential,1.5
400,0.535,0.9243397387886679,0.3289429663775049,0.30016151063611074,promoter_alisim_dense,evidential,2.0
400,0.52,0.9166575682217022,0.32744023974866093,0.3007728402916953,promoter_alisim_dense,evidential,3.0
400,0.8425,0.3599636718174784,0.10824213013139942,0.07974160665525548,promoter_alisim_dense,cnn_mc_dropout,0.0
400,0.855,0.3577746745529977,0.10717807313284072,0.07667840480789376,promoter_alisim_dense,cnn_mc_dropout,0.01
400,0.8375,0.3649556396699519,0.11266692375322185,0.07847816838111334,promoter_alisim_dense,cnn_mc_dropout,0.02
400,0.85,0.389518503298727,0.11516289677543569,0.09124570139224694,promoter_alisim_dense,cnn_mc_dropout,0.05
400,0.86,0.3957436147921186,0.11884919557877263,0.07983263053807031,promoter_alisim_dense,cnn_mc_dropout,0.1
400,0.835,0.41694075192383695,0.12868753442996644,0.0793248373246015,promoter_alisim_dense,cnn_mc_dropout,0.15
400,0.785,0.5306406841991427,0.16010320505637352,0.11446416975667302,promoter_alisim_dense,cnn_mc_dropout,0.2
400,0.8075,0.46402565064536333,0.1420609288328221,0.07522751197699043,promoter_alisim_dense,cnn_mc_dropout,0.3
400,0.7775,0.5456012911896556,0.16795742183817888,0.09673560716876187,promoter_alisim_dense,cnn_mc_dropout,0.4
400,0.7575,0.629887745309602,0.18789854921162777,0.11597343199679486,promoter_alisim_dense,cnn_mc_dropout,0.5
400,0.7225,0.6977233598152265,0.21098226624883248,0.1451889716330066,promoter_alisim_dense,cnn_mc_dropout,0.6
400,0.69,0.7293684600481147,0.2253520048578309,0.15233139198333506,promoter_alisim_dense,cnn_mc_dropout,0.8
400,0.665,0.7586597770436901,0.24211132414248293,0.17143159888602863,promoter_alisim_dense,cnn_mc_dropout,1.0
400,0.6025,0.9832892151310719,0.28992893920100804,0.23818434380629594,promoter_alisim_dense,cnn_mc_dropout,1.5
400,0.6275,0.9094979899348623,0.2760353685547197,0.21389797744462619,promoter_alisim_dense,cnn_mc_dropout,2.0
400,0.62,0.9520907464019623,0.2877031816425956,0.21798650675389492,promoter_alisim_dense,cnn_mc_dropout,3.0
400,0.8825,0.28230714001512197,0.08304568768170861,0.046862638066032504,promoter_alisim_dense,cnn_ensemble,0.0
400,0.8825,0.2792035262204158,0.08204281449956279,0.030492073450946358,promoter_alisim_dense,cnn_ensemble,0.01
400,0.885,0.29517503816255614,0.08474118750452558,0.038283203213403366,promoter_alisim_dense,cnn_ensemble,0.02
400,0.8675,0.3168947714123366,0.09327682872732716,0.039174635159075405,promoter_alisim_dense,cnn_ensemble,0.05
400,0.86,0.32856232412790604,0.09893069170156225,0.03807593094153493,promoter_alisim_dense,cnn_ensemble,0.1
400,0.84,0.36416925913648757,0.11477094579028183,0.04249058889528234,promoter_alisim_dense,cnn_ensemble,0.15
400,0.8325,0.4159062617536155,0.12719769613428134,0.05949228535380785,promoter_alisim_dense,cnn_ensemble,0.2
400,0.8175,0.4232882231665161,0.13444749165647907,0.057888888060983516,promoter_alisim_dense,cnn_ensemble,0.3
400,0.76,0.5120543036599173,0.1666055968562092,0.07886554007723232,promoter_alisim_dense,cnn_ensemble,0.4
