,species,genus,family,order,class,phylum,kingdom,superkingdom
3103,2875962,2923290,0,2923288,0,976,0,2
3104,2876193,1911573,1644056,1644055,183963,28890,0,2157
3105,2877939,57739,1499392,206351,28216,1224,0,2
3106,2880008,2967962,2845253,136,203692,203691,0,2
3107,288004,1021,135617,72273,1236,1224,0,2
3108,2881056,577469,1042322,85006,1760,201174,0,2
3109,2881234,3029205,31989,204455,28211,1224,0,2
3110,2881428,2881427,2881426,1890424,3028117,1117,0,2
3111,2884022,2976759,2976758,588673,1497346,201174,0,2
3112,2884876,367188,2236,2235,183963,28890,0,2157
3113,2885951,2303528,2303507,2881377,3028117,1117,0,2
3114,2886352,2886347,1892251,1150,3028117,1117,0,2
3115,28873,10242,10240,2732527,2732525,2732007,2732005,10239
3116,288965,35829,216572,186802,186801,1239,0,2
3117,28901,590,543,91347,1236,1224,0,2
3118,2891570,1504576,543,91347,1236,1224,0,2
3119,2893202,2893197,49546,200644,117743,976,0,2
3120,2894156,2995122,1643824,84999,84998,201174,0,2
3121,289435,752201,1892259,1161,3028117,1117,0,2
3122,2895352,3018276,135620,135619,1236,1224,0,2
3123,2896848,2805681,2062,85011,1760,201174,0,2
3124,2898,3030,2896,589350,3027,0,0,2759
3125,2898187,2766734,2762318,200644,117743,976,0,2
3126,28985,4910,4893,4892,4891,4890,4751,2759
3127,2899121,2943184,128827,526525,526524,1239,0,2
3128,290053,816,815,171549,200643,976,0,2
3129,2900738,1434045,49546,200644,117743,976,0,2
3130,2901142,1148163,506,80840,28216,1224,0,2
3131,290400,188905,2854170,204455,28211,1224,0,2
3132,2904523,2040262,145357,85006,1760,201174,0,2
3133,2905121,444459,49546,200644,117743,976,0,2
3134,2906072,182269,255475,356,28211,1224,0,2
3135,2906798,2664261,1890438,2881377,3028117,1117,0,2
3136,2908642,3024237,85015,85009,1760,201174,0,2
3137,2908648,13275,868,135615,1236,1224,0,2
3138,2916397,2680018,31989,204455,28211,1224,0,2
3139,2916754,1573059,49546,200644,117743,976,0,2
3140,2916755,312278,2896860,768507,768503,976,0,2
3141,29176,29175,5809,75739,1280412,5794,0,2759
3142,2917790,2944815,481,206351,28216,1224,0,2
3143,2917832,2917830,1890438,2881377,3028117,1117,0,2
3144,2919598,2975286,2975285,2975284,1236,1224,0,2
3145,291990,291988,2770093,2770089,186801,1239,0,2
3146,2923279,112008,3018589,135615,1236,1224,0,2
3147,2924031,1884449,186817,1385,91061,1239,0,2
3148,2924032,2675234,186817,1385,91061,1239,0,2
3149,29255,11011,11006,2732540,2732458,2732405,2732396,10239
3150,292566,13034,1890426,1890424,3028117,1117,0,2
3151,2925830,2978367,33958,186826,91061,1239,0,2
3152,2926907,2967089,49546,200644,117743,976,0,2
3153,292800,946234,216572,186802,186801,1239,0,2
3154,2928472,1904377,2685818,356,28211,1224,0,2
3155,29288,29287,1644061,1644060,183963,28890,0,2157
3156,29291,2225,2206,94695,224756,28890,0,2157
3157,29303,2995706,2062,85011,1760,201174,0,2
3158,293091,293431,1644056,1644055,183963,28890,0,2157
3159,2931922,2126548,1570339,1737405,1737404,1239,0,2
3160,2931930,1874526,1890438,2881377,3028117,1117,0,2
3161,2931977,1073987,1963268,2235,183963,28890,0,2157
3162,29329,28895,186814,68295,186801,1239,0,2
3163,2933293,2022711,2202724,2202723,171536,28890,0,2157
3164,2933872,2837502,186817,1385,91061,1239,0,2
3165,2934315,2997360,186803,186802,186801,1239,0,2
